date,AverageTemperature,State
01-01-1980,23.799,Andhra Pradesh
01-02-1980,26.515,Andhra Pradesh
01-03-1980,29.37,Andhra Pradesh
01-04-1980,32.125,Andhra Pradesh
01-05-1980,34.121,Andhra Pradesh
01-06-1980,29.634,Andhra Pradesh
01-07-1980,28.18,Andhra Pradesh
01-08-1980,27.273,Andhra Pradesh
01-09-1980,27.967,Andhra Pradesh
01-10-1980,27.347,Andhra Pradesh
01-11-1980,24.864,Andhra Pradesh
01-12-1980,23.05,Andhra Pradesh
01-01-1981,22.669,Andhra Pradesh
01-02-1981,26.009,Andhra Pradesh
01-03-1981,28.351,Andhra Pradesh
01-04-1981,31.778,Andhra Pradesh
01-05-1981,32.792,Andhra Pradesh
01-06-1981,30.727,Andhra Pradesh
01-07-1981,28.372,Andhra Pradesh
01-08-1981,27.267,Andhra Pradesh
01-09-1981,27.303,Andhra Pradesh
01-10-1981,26.636,Andhra Pradesh
01-11-1981,24.095,Andhra Pradesh
01-12-1981,22.323,Andhra Pradesh
01-01-1982,23.384,Andhra Pradesh
01-02-1982,26.327,Andhra Pradesh
01-03-1982,29.159,Andhra Pradesh
01-04-1982,31.286,Andhra Pradesh
01-05-1982,32.251,Andhra Pradesh
01-06-1982,30.713,Andhra Pradesh
01-07-1982,28.713,Andhra Pradesh
01-08-1982,27.9,Andhra Pradesh
01-09-1982,27.777,Andhra Pradesh
01-10-1982,27.028,Andhra Pradesh
01-11-1982,24.741,Andhra Pradesh
01-12-1982,22.867,Andhra Pradesh
01-01-1983,22.922,Andhra Pradesh
01-02-1983,26.43,Andhra Pradesh
01-03-1983,29.657,Andhra Pradesh
01-04-1983,31.819,Andhra Pradesh
01-05-1983,33.136,Andhra Pradesh
01-06-1983,31.478,Andhra Pradesh
01-07-1983,28.7,Andhra Pradesh
01-08-1983,27.531,Andhra Pradesh
01-09-1983,27.037,Andhra Pradesh
01-10-1983,26.26,Andhra Pradesh
01-11-1983,23.752,Andhra Pradesh
01-12-1983,22.301,Andhra Pradesh
01-01-1984,23.853,Andhra Pradesh
01-02-1984,25.211,Andhra Pradesh
01-03-1984,28.538,Andhra Pradesh
01-04-1984,31.253,Andhra Pradesh
01-05-1984,33.973,Andhra Pradesh
01-06-1984,30.443,Andhra Pradesh
01-07-1984,27.637,Andhra Pradesh
01-08-1984,28.01,Andhra Pradesh
01-09-1984,27.816,Andhra Pradesh
01-10-1984,26.754,Andhra Pradesh
01-11-1984,23.633,Andhra Pradesh
01-12-1984,23.378,Andhra Pradesh
01-01-1985,23.948,Andhra Pradesh
01-02-1985,26.14,Andhra Pradesh
01-03-1985,29.614,Andhra Pradesh
01-04-1985,32.238,Andhra Pradesh
01-05-1985,33.389,Andhra Pradesh
01-06-1985,29.798,Andhra Pradesh
01-07-1985,27.71,Andhra Pradesh
01-08-1985,27.769,Andhra Pradesh
01-09-1985,28.238,Andhra Pradesh
01-10-1985,25.953,Andhra Pradesh
01-11-1985,24.037,Andhra Pradesh
01-12-1985,23.188,Andhra Pradesh
01-01-1986,22.295,Andhra Pradesh
01-02-1986,25.556,Andhra Pradesh
01-03-1986,29.196,Andhra Pradesh
01-04-1986,31.809,Andhra Pradesh
01-05-1986,33.341,Andhra Pradesh
01-06-1986,30.337,Andhra Pradesh
01-07-1986,28.605,Andhra Pradesh
01-08-1986,27.771,Andhra Pradesh
01-09-1986,28.639,Andhra Pradesh
01-10-1986,27.481,Andhra Pradesh
01-11-1986,25.12,Andhra Pradesh
01-12-1986,23.526,Andhra Pradesh
01-01-1987,23.331,Andhra Pradesh
01-02-1987,24.991,Andhra Pradesh
01-03-1987,28.42,Andhra Pradesh
01-04-1987,32.05,Andhra Pradesh
01-05-1987,32.304,Andhra Pradesh
01-06-1987,31.492,Andhra Pradesh
01-07-1987,28.952,Andhra Pradesh
01-08-1987,28.192,Andhra Pradesh
01-09-1987,29.008,Andhra Pradesh
01-10-1987,27.029,Andhra Pradesh
01-11-1987,24.743,Andhra Pradesh
01-12-1987,22.814,Andhra Pradesh
01-01-1988,23.447,Andhra Pradesh
01-02-1988,26.5,Andhra Pradesh
01-03-1988,29.632,Andhra Pradesh
01-04-1988,31.109,Andhra Pradesh
01-05-1988,33.957,Andhra Pradesh
01-06-1988,31.178,Andhra Pradesh
01-07-1988,27.733,Andhra Pradesh
01-08-1988,27.459,Andhra Pradesh
01-09-1988,27.51,Andhra Pradesh
01-10-1988,26.763,Andhra Pradesh
01-11-1988,24.079,Andhra Pradesh
01-12-1988,22.652,Andhra Pradesh
01-01-1989,23.002,Andhra Pradesh
01-02-1989,25.222,Andhra Pradesh
01-03-1989,27.911,Andhra Pradesh
01-04-1989,31.453,Andhra Pradesh
01-05-1989,33.296,Andhra Pradesh
01-06-1989,29.82,Andhra Pradesh
01-07-1989,27.728,Andhra Pradesh
01-08-1989,27.432,Andhra Pradesh
01-09-1989,27.443,Andhra Pradesh
01-10-1989,27.184,Andhra Pradesh
01-11-1989,24.635,Andhra Pradesh
01-12-1989,22.409,Andhra Pradesh
01-01-1990,23.43,Andhra Pradesh
01-02-1990,25.968,Andhra Pradesh
01-03-1990,28.721,Andhra Pradesh
01-04-1990,31.704,Andhra Pradesh
01-05-1990,30.271,Andhra Pradesh
01-06-1990,29.076,Andhra Pradesh
01-07-1990,27.701,Andhra Pradesh
01-08-1990,27.482,Andhra Pradesh
01-09-1990,27.809,Andhra Pradesh
01-10-1990,26.074,Andhra Pradesh
01-11-1990,24.865,Andhra Pradesh
01-12-1990,23.035,Andhra Pradesh
01-01-1991,23.605,Andhra Pradesh
01-02-1991,26.319,Andhra Pradesh
01-03-1991,29.514,Andhra Pradesh
01-04-1991,31.479,Andhra Pradesh
01-05-1991,33.43,Andhra Pradesh
01-06-1991,29.522,Andhra Pradesh
01-07-1991,27.76,Andhra Pradesh
01-08-1991,27.534,Andhra Pradesh
01-09-1991,28.319,Andhra Pradesh
01-10-1991,26.747,Andhra Pradesh
01-11-1991,23.908,Andhra Pradesh
01-12-1991,22.154,Andhra Pradesh
01-01-1992,22.054,Andhra Pradesh
01-02-1992,25.482,Andhra Pradesh
01-03-1992,29.009,Andhra Pradesh
01-04-1992,31.44,Andhra Pradesh
01-05-1992,32.776,Andhra Pradesh
01-06-1992,30.909,Andhra Pradesh
01-07-1992,28.725,Andhra Pradesh
01-08-1992,27.151,Andhra Pradesh
01-09-1992,27.759,Andhra Pradesh
01-10-1992,26.882,Andhra Pradesh
01-11-1992,24.739,Andhra Pradesh
01-12-1992,21.772,Andhra Pradesh
01-01-1993,23.376,Andhra Pradesh
01-02-1993,24.853,Andhra Pradesh
01-03-1993,28.546,Andhra Pradesh
01-04-1993,31.36,Andhra Pradesh
01-05-1993,33.207,Andhra Pradesh
01-06-1993,31.284,Andhra Pradesh
01-07-1993,28.487,Andhra Pradesh
01-08-1993,27.836,Andhra Pradesh
01-09-1993,27.578,Andhra Pradesh
01-10-1993,26.692,Andhra Pradesh
01-11-1993,24.381,Andhra Pradesh
01-12-1993,21.777,Andhra Pradesh
01-01-1994,23.319,Andhra Pradesh
01-02-1994,25.594,Andhra Pradesh
01-03-1994,29.494,Andhra Pradesh
01-04-1994,30.98,Andhra Pradesh
01-05-1994,33.579,Andhra Pradesh
01-06-1994,30.246,Andhra Pradesh
01-07-1994,27.486,Andhra Pradesh
01-08-1994,27.391,Andhra Pradesh
01-09-1994,28.041,Andhra Pradesh
01-10-1994,26.53,Andhra Pradesh
01-11-1994,23.647,Andhra Pradesh
01-12-1994,21.607,Andhra Pradesh
01-01-1995,21.954,Andhra Pradesh
01-02-1995,25.565,Andhra Pradesh
01-03-1995,28.78,Andhra Pradesh
01-04-1995,31.295,Andhra Pradesh
01-05-1995,31.311,Andhra Pradesh
01-06-1995,31.836,Andhra Pradesh
01-07-1995,28.009,Andhra Pradesh
01-08-1995,28.201,Andhra Pradesh
01-09-1995,27.907,Andhra Pradesh
01-10-1995,26.558,Andhra Pradesh
01-11-1995,25.154,Andhra Pradesh
01-12-1995,23.037,Andhra Pradesh
01-01-1996,24.041,Andhra Pradesh
01-02-1996,25.831,Andhra Pradesh
01-03-1996,29.313,Andhra Pradesh
01-04-1996,30.99,Andhra Pradesh
01-05-1996,33.711,Andhra Pradesh
01-06-1996,30.519,Andhra Pradesh
01-07-1996,28.369,Andhra Pradesh
01-08-1996,27.384,Andhra Pradesh
01-09-1996,27.677,Andhra Pradesh
01-10-1996,26.209,Andhra Pradesh
01-11-1996,24.744,Andhra Pradesh
01-12-1996,22.21,Andhra Pradesh
01-01-1997,22.338,Andhra Pradesh
01-02-1997,24.998,Andhra Pradesh
01-03-1997,28.734,Andhra Pradesh
01-04-1997,29.748,Andhra Pradesh
01-05-1997,32.798,Andhra Pradesh
01-06-1997,31.419,Andhra Pradesh
01-07-1997,28.878,Andhra Pradesh
01-08-1997,28.34,Andhra Pradesh
01-09-1997,27.953,Andhra Pradesh
01-10-1997,26.977,Andhra Pradesh
01-11-1997,25.77,Andhra Pradesh
01-12-1997,24.282,Andhra Pradesh
01-01-1998,24.572,Andhra Pradesh
01-02-1998,26.34,Andhra Pradesh
01-03-1998,29.402,Andhra Pradesh
01-04-1998,31.959,Andhra Pradesh
01-05-1998,33.773,Andhra Pradesh
01-06-1998,31.867,Andhra Pradesh
01-07-1998,28.811,Andhra Pradesh
01-08-1998,28.134,Andhra Pradesh
01-09-1998,27.757,Andhra Pradesh
01-10-1998,26.733,Andhra Pradesh
01-11-1998,25.238,Andhra Pradesh
01-12-1998,22.212,Andhra Pradesh
01-01-1999,22.558,Andhra Pradesh
01-02-1999,26.216,Andhra Pradesh
01-03-1999,29.514,Andhra Pradesh
01-04-1999,32.184,Andhra Pradesh
01-05-1999,31.814,Andhra Pradesh
01-06-1999,29.904,Andhra Pradesh
01-07-1999,28.443,Andhra Pradesh
01-08-1999,27.761,Andhra Pradesh
01-09-1999,27.713,Andhra Pradesh
01-10-1999,26.887,Andhra Pradesh
01-11-1999,24.856,Andhra Pradesh
01-12-1999,22.48,Andhra Pradesh
01-01-2000,23.721,Andhra Pradesh
01-02-2000,25.826,Andhra Pradesh
01-03-2000,28.618,Andhra Pradesh
01-04-2000,32.26,Andhra Pradesh
